date,series_id,value,realtime_start,realtime_end
1990-01-02,WILL5000IND,8.97,2023-03-19,2023-03-19
1990-01-03,WILL5000IND,8.97,2023-03-19,2023-03-19
1990-01-04,WILL5000IND,8.91,2023-03-19,2023-03-19
1990-01-05,WILL5000IND,8.83,2023-03-19,2023-03-19
1990-01-08,WILL5000IND,8.86,2023-03-19,2023-03-19
1990-01-09,WILL5000IND,8.78,2023-03-19,2023-03-19
1990-01-10,WILL5000IND,8.71,2023-03-19,2023-03-19
1990-01-11,WILL5000IND,8.73,2023-03-19,2023-03-19
1990-01-12,WILL5000IND,8.54,2023-03-19,2023-03-19
1990-01-15,WILL5000IND,8.46,2023-03-19,2023-03-19
1990-01-16,WILL5000IND,8.53,2023-03-19,2023-03-19
1990-01-17,WILL5000IND,8.47,2023-03-19,2023-03-19
1990-01-18,WILL5000IND,8.48,2023-03-19,2023-03-19
1990-01-19,WILL5000IND,8.5,2023-03-19,2023-03-19
1990-01-22,WILL5000IND,8.31,2023-03-19,2023-03-19
1990-01-23,WILL5000IND,8.31,2023-03-19,2023-03-19
1990-01-24,WILL5000IND,8.27,2023-03-19,2023-03-19
1990-01-25,WILL5000IND,8.18,2023-03-19,2023-03-19
1990-01-26,WILL5000IND,8.15,2023-03-19,2023-03-19
1990-01-29,WILL5000IND,8.13,2023-03-19,2023-03-19
1990-01-30,WILL5000IND,8.06,2023-03-19,2023-03-19
1990-01-31,WILL5000IND,8.19,2023-03-19,2023-03-19
1990-02-01,WILL5000IND,8.2,2023-03-19,2023-03-19
1990-02-02,WILL5000IND,8.26,2023-03-19,2023-03-19
1990-02-05,WILL5000IND,8.3,2023-03-19,2023-03-19
1990-02-06,WILL5000IND,8.26,2023-03-19,2023-03-19
1990-02-07,WILL5000IND,8.35,2023-03-19,2023-03-19
1990-02-08,WILL5000IND,8.34,2023-03-19,2023-03-19
1990-02-09,WILL5000IND,8.36,2023-03-19,2023-03-19
1990-02-12,WILL5000IND,8.29,2023-03-19,2023-03-19
1990-02-13,WILL5000IND,8.3,2023-03-19,2023-03-19
1990-02-14,WILL5000IND,8.32,2023-03-19,2023-03-19
1990-02-15,WILL5000IND,8.39,2023-03-19,2023-03-19
1990-02-16,WILL5000IND,8.35,2023-03-19,2023-03-19
1990-02-20,WILL5000IND,8.24,2023-03-19,2023-03-19
1990-02-21,WILL5000IND,8.23,2023-03-19,2023-03-19
1990-02-22,WILL5000IND,8.2,2023-03-19,2023-03-19
1990-02-23,WILL5000IND,8.15,2023-03-19,2023-03-19
1990-02-26,WILL5000IND,8.23,2023-03-19,2023-03-19
