periods,u_rate,cpi,ff_rate,3_m_tbill,1_y_tbond,dollar_pound_erate,gdp_jp,t_from_1960,recession,GS10,TB3MS,RSPREAD
1957:01:00,3.933333397,27.77666664,2.960000038,3.079999924,3.420000076,279.3046875,10149,-12,0,,,
1957:02:00,4.099999905,28.01333427,3,3.289999962,3.650000095,279.0237122,10904,-11,0,,,
1957:03:00,4.233333111,28.26333427,3.470000029,3.529999971,4.070000172,278.5087891,11231,-10,0,,,
1957:04:00,4.933333397,28.39999962,2.980000019,3.039999962,3.180000067,280.5795898,11075,-9,1,,,
1958:01:00,6.300000191,28.73666573,1.200000048,1.299999952,1.840000033,281.5397949,10973,-8,1,,,
1958:02:00,7.366666794,28.93000031,0.930000007,0.829999983,1.230000019,281.1111145,11325.2998,-7,1,,,
1958:03:00,7.333333492,28.91333389,1.75999999,2.440000057,3.049999952,280.3283997,11734.09961,-6,0,,,
1958:04:00,6.366666794,28.94333267,2.420000076,2.769999981,3.289999962,280.3799133,12080.09961,-5,0,,,
1959:01:00,5.833333492,28.99333382,2.799999952,2.799999952,3.609999895,281.270813,12223,-4,0,,,
1959:02:00,5.099999905,29.04333305,3.390000105,3.210000038,4.070000172,281.2536926,12869,-3,0,,,
1959:03:00,5.266666889,29.19333267,3.75999999,4.039999962,5,280.3703918,13680,-2,0,,,
1959:04:00,5.599999905,29.37000084,3.99000001,4.489999771,5.139999866,279.8445129,13819,-1,0,,,
1960:01:00,5.133333206,29.39666748,3.839999914,3.309999943,4.019999981,280.5856934,15162,0,0,4.486666667,3.873333333,0.613333333
1960:02:00,5.233333111,29.57333374,3.319999933,2.460000038,3.359999895,280.2676086,15364,1,0,4.26,2.993333333,1.266666667
1960:03:00,5.533333302,29.59000015,2.599999905,2.480000019,3.069999933,281.2715149,16239,2,1,3.833333333,2.36,1.473333333
1960:04:00,6.266666889,29.78000069,1.980000019,2.25,2.859999895,280.7370911,17026,3,1,3.886666667,2.306666667,1.58
1961:01:00,6.800000191,29.84000015,2.019999981,2.390000105,2.880000114,279.75,17959,4,1,3.786666667,2.35,1.436666667
1961:02:00,7,29.82999992,1.730000019,2.329999924,3.059999943,278.980011,18695,5,0,3.79,2.303333333,1.486666667
1961:03:00,6.766666889,29.94666672,1.879999995,2.279999971,3.059999943,281.2200012,19424,6,0,3.98,2.303333333,1.676666667
1961:04:00,6.199999809,29.98999977,2.329999924,2.599999905,3.180000067,280.9599915,20900,7,0,3.973333333,2.46,1.513333333
1962:01:00,5.633333206,30.10666656,2.849999905,2.720000029,3.059999943,281.5297852,21428,8,0,4.016666667,2.723333333,1.293333333
1962:02:00,5.533333302,30.21999931,2.680000067,2.730000019,3.029999971,280.8301086,21769,9,0,3.873333333,2.716666667,1.156666667
1962:03:00,5.566666603,30.30666733,2.900000095,2.779999971,3.059999943,280.0900879,21907,10,0,3.99,2.84,1.15
1962:04:00,5.533333302,30.37999916,2.930000067,2.869999886,3.00999999,280.3301086,22412,11,0,3.903333333,2.813333333,1.09
1963:01:00,5.766666889,30.4766674,2.980000019,2.890000105,3.029999971,280.0600891,23150,12,0,3.893333333,2.906666667,0.986666667
1963:02:00,5.733333111,30.53333282,2.99000001,2.99000001,3.200000048,280.0198059,24488,13,0,3.963333333,2.94,1.023333333
1963:03:00,5.5,30.71999931,3.480000019,3.380000114,3.569999933,279.7698059,25571,14,0,4.033333333,3.293333333,0.74
1963:04:00,5.566666603,30.80333328,3.380000114,3.519999981,3.809999943,279.6496887,26867,15,0,4.12,3.496666667,0.623333333
1964:01:00,5.466666698,30.93000031,3.430000067,3.539999962,3.910000086,279.8100891,27933,16,0,4.18,3.53,0.65
1964:02:00,5.199999809,30.97999954,3.5,3.480000019,3.829999924,279.4197083,29237,17,0,4.2,3.476666667,0.723333333
1964:03:00,5,31.04999924,3.450000048,3.529999971,3.839999914,278.3400879,29905,18,0,4.193333333,3.496666667,0.696666667
1964:04:00,4.966666698,31.19333267,3.849999905,3.839999914,4.019999981,279.0600891,30721,19,0,4.173333333,3.683333333,0.49
1965:01:00,4.900000095,31.29000092,4.039999962,3.930000067,4.059999943,279.2399902,31699,20,0,4.203333333,3.89,0.313333333
1965:02:00,4.666666508,31.48999977,4.039999962,3.799999952,3.99000001,279.230011,32437,21,0,4.206666667,3.873333333,0.333333333
1965:03:00,4.366666794,31.58333397,4.010000229,3.920000076,4.199999809,279.6697083,33475,22,0,4.246666667,3.866666667,0.38
1965:04:00,4.099999905,31.75,4.320000172,4.380000114,4.71999979,280.2099915,33558,23,0,4.473333333,4.166666667,0.306666667
1966:01:00,3.866666555,32.04666519,4.650000095,4.590000153,4.96999979,279.5198059,35539.19922,24,0,4.77,4.61,0.16
1966:02:00,3.833333254,32.33666611,5.170000076,4.5,4.96999979,278.980011,37753.5,25,0,4.78,4.586666667,0.193333333
1966:03:00,3.766666651,32.61666489,5.400000095,5.369999886,5.820000172,278.9296875,39148.69922,26,0,5.14,5.043333333,0.096666667
1966:04:00,3.700000048,32.88333511,5.400000095,4.960000038,5.199999809,279.0097961,40025.60156,27,0,5.003333333,5.21,-0.206666667
1967:01:00,3.833333254,32.96666718,4.53000021,4.260000229,4.349999905,279.6271973,42074,28,0,4.583333333,4.513333333,0.07
1967:02:00,3.833333254,33.16666794,3.980000019,3.539999962,4.480000019,279.1171875,43295,29,0,4.82,3.66,1.16
1967:03:00,3.799999952,33.5,3.99000001,4.420000076,5.239999771,278.3693848,45546,30,0,5.246666667,4.3,0.946666667
1967:04:00,3.900000095,33.86666489,4.510000229,4.96999979,5.710000038,240.6298065,47540,31,0,5.643333333,4.753333333,0.89
1968:01:00,3.733333349,34.20000076,5.050000191,5.170000076,5.579999924,239.9718018,49302.60156,32,0,5.61,5.05,0.56
1968:02:00,3.566666603,34.53333282,6.070000172,5.519999981,5.980000019,238.4620056,51317.60156,33,0,5.743333333,5.52,0.223333333
1968:03:00,3.533333302,35,5.78000021,5.190000057,5.449999809,238.739502,53237.10156,34,0,5.46,5.196666667,0.263333333
1968:04:00,3.400000095,35.43333435,6.019999981,5.960000038,6.190000057,238.4156952,57507.60156,35,0,5.77,5.586666667,0.183333333
